id,catalog,messier,caldwell,ngc_ic,name,all_ids,type,mag,constellation,size_arcmin,ra_deg,dec_deg,season
IC0001,IC,,,IC 1,,IC 1,**,,Pegasus,,2.11271,27.71767,Autumn
IC0002,IC,,,IC 2,,IC 2,G,15.46,Cetus,0.98,2.75367,-12.82286,Autumn
IC0003,IC,,,IC 3,,IC 3,G,14.78,Pisces,0.93,3.02538,-0.41522,Autumn
IC0004,IC,,,IC 4,,IC 4,G,14.14,Pegasus,1.17,3.36225,17.48644,Autumn
IC0005,IC,,,IC 5,,IC 5,G,14.57,Cetus,0.99,4.39554,-9.54336,Autumn
IC0006,IC,,,IC 6,,IC 6,G,14.57,Pisces,1.23,4.72933,-3.27608,Autumn
IC0007,IC,,,IC 7,,IC 7,G,14.63,Pisces,0.90,4.72150,10.59469,Autumn
IC0008,IC,,,IC 8,,IC 8,G,15.16,Pisces,0.82,4.76133,-3.22208,Autumn
IC0009,IC,,,IC 9,,IC 9,G,15.41,Cetus,0.59,4.93325,-14.12189,Autumn
IC0010,IC,,,IC 10,,IC 10,G,10.35,Cassiopeia,6.76,5.07225,59.30378,Autumn
IC0012,IC,,,IC 12,,IC 12,G,15.08,Pisces,0.96,5.06271,-2.65311,Autumn
IC0013,IC,,,IC 13,,IC 13,G,14.93,Pisces,1.29,5.08371,7.70050,Autumn
IC0014,IC,,,IC 14,,IC 14,**,,Pisces,,5.63037,10.49025,Autumn
IC0015,IC,,,IC 15,,IC 15,G,15.9,Cetus,0.44,6.98996,-0.06128,Autumn
IC0016,IC,,,IC 16,,IC 16,G,15.15,Cetus,0.58,7.03188,-13.09392,Autumn
IC0017,IC,,,IC 17,,IC 17,G,14.77,Cetus,0.67,7.12408,2.64861,Autumn
IC0018,IC,,,IC 18,,IC 18,G,15.03,Cetus,1.08,7.14567,-11.58669,Autumn
IC0019,IC,,,IC 19,,IC 19,G,15.15,Cetus,0.79,7.16450,-11.64078,Autumn
IC0020,IC,,,IC 20,,IC 20,G,14.88,Cetus,0.91,7.16533,-13.01031,Autumn
IC0021,IC,,,IC 21,,IC 21,G,15.54,Cetus,0.49,7.29346,-0.16378,Autumn
IC0022,IC,,,IC 22,,IC 22,G,14.73,Cetus,0.81,7.38821,-9.08075,Autumn
IC0023,IC,,,IC 23,,IC 23,G,15.05,Cetus,0.85,7.71167,-12.72025,Autumn
IC0024,IC,,,IC 24,,IC 24,**,,Andromeda,,7.81929,30.83931,Autumn
IC0025,IC,,,IC 25,,IC 25,G,15.29,Cetus,0.86,7.80038,-0.40736,Autumn
IC0027,IC,,,IC 27,,IC 27,G,15.82,Cetus,0.58,8.27600,-13.37150,Autumn
IC0028,IC,,,IC 28,,IC 28,G,15.56,Cetus,0.30,8.28633,-13.45628,Autumn
IC0029,IC,,,IC 29,,IC 29,G,15.79,Cetus,0.66,8.54500,-2.17764,Autumn
IC0030,IC,,,IC 30,,IC 30,G,15.17,Cetus,0.69,8.56133,-2.08458,Autumn
IC0031,IC,,,IC 31,,IC 31,G,15.62,Pisces,1.16,8.60262,12.26817,Autumn
IC0032,IC,,,IC 32,,IC 32,G,16.15,Cetus,0.62,8.75704,-2.14169,Autumn
IC0033,IC,,,IC 33,,IC 33,G,15.29,Cetus,0.78,8.77150,-2.13769,Autumn
IC0034,IC,,,IC 34,,IC 34,G,13.77,Pisces,2.81,8.90175,9.12425,Autumn
IC0035,IC,,,IC 35,,IC 35,G,14.96,Pisces,0.90,9.41617,10.35797,Autumn
IC0036,IC,,,IC 36,,IC 36,G,15.54,Cetus,0.31,9.45688,-15.44128,Autumn
IC0037,IC,,,IC 37,,IC 37,G,16.23,Cetus,0.67,9.64242,-15.35869,Autumn
IC0038,IC,,,IC 38,,IC 38,G,15.02,Cetus,0.77,9.66150,-15.41983,Autumn
IC0040,IC,,,IC 40,,IC 40,G,15.04,Cetus,1.05,9.83917,2.45622,Autumn
IC0041,IC,,,IC 41,,IC 41,G,15.2,Cetus,0.71,9.91821,-14.17433,Autumn
IC0042,IC,,,IC 42,,IC 42,G,15.38,Cetus,0.76,10.27433,-15.42808,Autumn
IC0043,IC,,,IC 43,,IC 43,G,13.25,Andromeda,1.26,10.59192,29.64164,Autumn
IC0045,IC,,,IC 45,,IC 45,Other,,Andromeda,,10.65142,29.65525,Autumn
IC0046,IC,,,IC 46,,IC 46,G,14.28,Andromeda,0.80,10.74154,27.25347,Autumn
IC0047,IC,,,IC 47,,IC 47,G,16.09,Cetus,0.41,10.72921,-13.74072,Autumn
IC0048,IC,,,IC 48,,"IC 48,IC 1577",G,13.16,Cetus,1.12,10.89363,-8.18650,Autumn
IC0049,IC,,,IC 49,,IC 49,G,13.78,Cetus,1.28,10.98387,1.85028,Autumn
IC0050,IC,,,IC 50,,IC 50,G,14.74,Cetus,1.02,11.52379,-9.50300,Autumn
IC0051,IC,,,IC 51,,IC 51,G,13.75,Cetus,1.70,11.60092,-13.44236,Autumn
IC0052,IC,,,IC 52,,IC 52,G,15.31,Pisces,0.95,12.09908,4.09186,Autumn
IC0053,IC,,,IC 53,,IC 53,G,15.33,Pisces,0.87,12.66988,10.60028,Autumn
IC0054,IC,,,IC 54,,IC 54,**,,Cetus,,12.69521,-2.28778,Autumn
IC0055,IC,,,IC 55,,IC 55,G,15.01,Pisces,0.55,12.92662,7.71853,Autumn
IC0056,IC,,,IC 56,,IC 56,G,15.14,Cetus,0.82,12.87475,-12.84431,Autumn
IC0057,IC,,,IC 57,,IC 57,G,15.48,Pisces,1.03,13.70208,11.84119,Autumn
IC0058,IC,,,IC 58,,IC 58,G,15.51,Cetus,0.84,13.76017,-13.67808,Autumn
