Number,Messier number,NGC/IC number,Common name,Location,Reference Image,My Image,Object type,Distance (kly),Constellation,Apparent magnitude,Apparent dimensions (arc minutes),Right ascension,Declination,Best Date,Best Month,Best Viewing
1,M1,1952,Crab Nebula,Milky Way,,,Supernova remnant,4.9–8.1,Taurus,8.4,6.0,05h 34m 31.94s,+22° 00′ 52.2″,05-15,5,Spring
2,M2,7089,–,Milky Way,,,Globular cluster,33,Aquarius,6.5,12.9,21h 33m 27.02s,−00° 49′ 23.7″,12-15,12,Autumn
3,M3,5272,–,Milky Way,,,Globular cluster,33.9,Canes Venatici,6.2,16.2,13h 42m 11.62s,+28° 22′ 38.2″,09-15,9,Autumn
4,M4,6121,Spider Globular Cluster,Milky Way,,,Globular cluster,7.2,Scorpius,5.6,26.3,16h 23m 35.22s,−26° 31′ 32.7″,10-15,10,Autumn
5,M5,5904,Rose Cluster,Milky Way,,Need to face south (by condenser),Globular cluster,24.5,Serpens,5.6,17.4,15h 18m 33.22s,+02° 04′ 51.7″,10-15,10,Autumn
6,M6,6405,Butterfly Cluster,Milky Way,,,Open cluster,1.6,Scorpius,4.2,25.0,17h 40.1m,−32° 13′,11-15,11,Autumn
7,M7,6475,Ptolemy's Cluster,Milky Way,,,Open cluster,0.65–1.31,Scorpius,3.3,80.0,17h 53m 51.2s,−34° 47′ 34″,11-15,11,Autumn
8,M8,6523,Lagoon Nebula,Milky Way,,,Nebula with cluster,4.1,Sagittarius,6.0,90.0,18h 03m 37s,−24° 23′ 12″,11-15,11,Autumn
9,M9,6333,–,Milky Way,,,Globular cluster,25.8,Ophiuchus,7.7,9.3,17h 19m 11.78s,−18° 30′ 58.5″,11-15,11,Autumn
10,M10,6254,–,Milky Way,,,Globular cluster,14.3,Ophiuchus,6.6,15.1,16h 57m 8.92s,−04° 05′ 58.07″,10-15,10,Autumn
11,M11,6705,Wild Duck Cluster,Milky Way,,,Open cluster,6.2,Scutum,6.3,14.0,18h 51.1m,−06° 16′,11-15,11,Autumn
12,M12,6218,–,Milky Way,,,Globular cluster,15.7,Ophiuchus,6.7,14.5,16h 47m 14.18s,−01° 56′ 54.7″,10-15,10,Autumn
13,M13,6205,Great Hercules Cluster,Milky Way,,,Globular cluster,22.2,Hercules,5.8,16.6,16h 41m 41.24s,+36° 27′ 35.5″,10-15,10,Autumn
14,M14,6402,–,Milky Way,,,Globular cluster,30.3,Ophiuchus,7.6,11.7,17h 37m 36.15s,−03° 14′ 45.3″,11-15,11,Autumn
15,M15,7078,Great Pegasus Cluster,Milky Way,,,Globular cluster,33,Pegasus,6.2,12.3,21h 29m 58.33s,+12° 10′ 01.2″,12-15,12,Autumn
16,M16,6611,Eagle Nebula,Milky Way,,,H II region nebula with cluster,7,Serpens,6.4,7.0,18h 18m 48s,−13° 49′,11-15,11,Autumn
17,M17,6618,"Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula",Milky Way,,,H II region nebula with cluster,5–6,Sagittarius,7.0,11.0,18h 20m 26s,−16° 10′ 36″,11-15,11,Autumn
18,M18,6613,Black Swan Cluster,Milky Way,,,Open cluster,4.9,Sagittarius,7.5,9.0,18h 19.9m,−17° 08′,11-15,11,Autumn
19,M19,6273,–,Milky Way,,,Globular cluster,28.7,Ophiuchus,6.8,13.5,17h 02m 37.69s,−26° 16′ 04.6″,11-15,11,Autumn
20,M20,6514,Trifid Nebula,Milky Way,,,H II region nebula with cluster,5.2,Sagittarius,9.0,28.0,18h 02m 23s,−23° 01′ 48″,11-15,11,Autumn
21,M21,6531,Webb's Cross Cluster,Milky Way,,,Open cluster,4.25,Sagittarius,6.5,13.0,18h 04.6m,−22° 30′,11-15,11,Autumn
22,M22,6656,Great Sagittarius Cluster,Milky Way,,,Globular cluster,9.6–11.6,Sagittarius,5.1,24.0,18h 36m 23.94s,−23° 54′ 17.1″,11-15,11,Autumn
23,M23,6494,–,Milky Way,,,Open cluster,2.15,Sagittarius,6.9,27.0,17h 56.8m,−19° 01′,11-15,11,Autumn
24,M24,-,Small Sagittarius Star Cloud,Milky Way,,,Milky Way star cloud,~10,Sagittarius,4.6,90.0,18h 17m,−18° 33′,11-15,11,Autumn
25,M25,IC4725,–,Milky Way,,,Open cluster,2.0,Sagittarius,6.5,40.0,18h 31.6m,−19° 15′,11-15,11,Autumn
26,M26,6694,–,Milky Way,,,Open cluster,5.0,Scutum,8.0,15.0,18h 45.2m,−09° 24′,11-15,11,Autumn
27,M27,6853,Dumbbell Nebula,Milky Way,,,Planetary nebula,1.148–1.52,Vulpecula,7.4,8.0,19h 59m 36.340s,+22° 43′ 16.09″,12-15,12,Autumn
28,M28,6626,–,Milky Way,,,Globular cluster,17.9,Sagittarius,6.8,11.2,18h 24m 32.89s,−24° 52′ 11.4″,11-15,11,Autumn
29,M29,6913,Cooling Tower Cluster,Milky Way,,,Open cluster,7.2,Cygnus,7.1,7.0,20h 23m 56s,+38° 31′ 24″,12-15,12,Autumn
30,M30,7099,Jellyfish Cluster,Milky Way,,,Globular cluster,27.8–31,Capricornus,7.2,11.0,21h 40m 22.12s,−23° 10′ 47.5″,12-15,12,Autumn
31,M31,224,Andromeda Galaxy,Deep Space,,,Spiral galaxy,"2,430–2,650",Andromeda,3.4,178.0,00h 42m 44.3s,+41° 16′ 09″,02-15,2,Winter
32,M32,221,Andromeda Satellite #1,Deep Space,,,Dwarf elliptical galaxy,"2,410–2,570",Andromeda,8.1,8.0,00h 42m 41.8s,+40° 51′ 55″,02-15,2,Winter
33,M33,598,Triangulum/Pinwheel Galaxy,Deep Space,,,Spiral galaxy,"2,380–3,070",Triangulum,5.7,73.0,01h 33m 50.02s,+30° 39′ 36.7″,03-15,3,Spring
34,M34,1039,Spiral Cluster,Milky Way,,,Open cluster,1.5,Perseus,5.5,35.0,02h 42.1m,+42° 46′,03-15,3,Spring
35,M35,2168,Shoe-Buckle Cluster,Milky Way,,,Open cluster,2.8,Gemini,5.3,28.0,06h 09.1m,+24° 21′,05-15,5,Spring
36,M36,1960,Pinwheel Cluster,Milky Way,,,Open cluster,4.1,Auriga,6.3,12.0,05h 36m 12s,+34° 08′ 04″,05-15,5,Spring
37,M37,2099,Salt and Pepper Cluster,Milky Way,,,Open cluster,4.511,Auriga,6.2,24.0,05h 52m 18s,+32° 33′ 02″,05-15,5,Spring
38,M38,1912,Starfish Cluster,Milky Way,,,Open cluster,4.2,Auriga,7.4,21.0,05h 28m 42s,+35° 51′ 18″,05-15,5,Spring
39,M39,7092,Pyramid Cluster,Milky Way,,,Open cluster,0.8244,Cygnus,4.6,32.0,21h 31m 42s,+48° 26′ 00″,12-15,12,Autumn
40,M40,Win4,Winnecke 4,Milky Way,,,Optical Double,0.51,Ursa Major,8.4,0.8,12h 22m 12.5s,+58° 04′ 59″,08-15,8,Summer
41,M41,2287,Little Beehive Cluster,Milky Way,,,Open cluster,2.3,Canis Major,4.6,38.0,06h 46.0m,−20° 46′,05-15,5,Spring
42,M42,1976,Great Orion Nebula,Milky Way,,,H II region nebula,1.324–1.364,Orion,4.0,85.0,05h 35m 17.3s,−05° 23′ 28″,05-15,5,Spring
43,M43,1982,De Mairan's Nebula,Milky Way,,,H II region nebula (part of the Orion Nebula),1.6,Orion,9.0,20.0,05h 35.6m,−05° 16′,05-15,5,Spring
